07:10 HC 2024-07-08
codigo_postal,direccion_fisica,tipo_envio,forma_pago
8547,Del $ol 456.,4,2
41X76,Pacifico #999.,6,2
901782,Los Andes 456.,5,1
31400-236,Das Pedras 987.,1,2
057025,Pacifico 1357.,2,2
906755,Atlantico 2468.,1,2
6350,Bolivar #999.,1,1
B3713JCA,Independencia 123.,5,1
2265144,Los Andes 2468.,1,1
01172,Independencia 456.,5,1
09905-590,Das Flores 2468.,6,2
2084X7,Bolivar 2024.,5,1
4806581,Revolucion 987.,1,1
49713-360,Paulista 1357.,6,1
1051032,Independencia 123.,2,1
23005,Bolivar 456.,3,2
15864-639,Vieira Souto 987.,3,2
K8660QIH,Independencia 123.,3,2
33690,Revolucion 2024.,6,2
67592,Libertad 456.,2,2
272139,Libertad #999.,4,2
71930-0X5,Oscar Freire 2024.,3,2
428445,Pacifico 987.,2,2
82974-801,Das Flores 2024.,1,2
I5884GRX,AMerica 123.,0,1
9752X1,Independencia 456.,3,1
7816,Libertad 2024.,6,2
021074,AMerica 987.,1,2
4515707,Revolucion 1357.,1,1
585085,Pacifico 987.,4,1
J5352SBE,Libertad 2468.,1,1
3521094,Libertad 2024.,0,2
01330,Los Andes 987.,5,1
87380-577,Paulista 123.,0,2
2833750,San Martin 2468.,2,1
0070,Los Andes 2024.,6,2
18X70,Bolivar 2024.,2,2
158X,Libertad 2024.,5,1
93421,Atlantico 1357.,6,2
36000,Bolivar 1357.,3,2
20037,Libertad 2024.,3,1
02757,Revolucion 2468.,2,1
Z2316JAM,San Martin 1357.,3,1
6965,Atlantico 123.,2,2
0790,Pacifico 987.,2,2
16136,Bolivar 2468.,6,1
0724140,San Martin 456.,6,2
X2229,Atlantico 2024.,3,2
1X9X43,Los Andes 2468.,5,2
174629,AMerica 456.,2,2
6X9725,Revolucion 1357.,0,2
4XX54-09X,Das Flores 123.,0,2
08757,Atlantico 456.,4,1
51512,Del $ol 1357.,0,1
3200772,Libertad 2024.,0,1
3645700,Del $ol #999.,6,2
60433-344,Vieira Souto 2024.,2,1
1X1018,Los Andes 123.,4,2
838281,Libertad 123.,5,2
5670,AMerica 456.,1,1
54066,Libertad 456.,3,2
3727,San Martin 987.,3,2
876586,AMerica 2468.,1,2
056654,Revolucion 1357.,5,1
X0X446,Revolucion 2468.,4,1
00470,Revolucion 987.,2,2
X788193,Los Andes 987.,1,1
2133,Del $ol 123.,4,1
X0034GSN,San Martin 123.,1,2
21315,Pacifico 2468.,1,1
120090,Libertad 2024.,1,1
148520,Libertad 1357.,4,2
6X626-325,Oscar Freire 456.,3,1
94767,Revolucion #999.,6,2
570680,AMerica 123.,4,2
2920680,Bolivar #999.,4,2
49X5648,Los Andes 2468.,3,1
6997390,San Martin 1357.,3,1
043461,Atlantico 2468.,4,1
X67X5-011,Ouvidor #999.,0,2
88377,Independencia 2024.,2,2
3068032,Pacifico 987.,0,1
7150,Atlantico 1357.,0,1
0638X44,Libertad 987.,5,1
Q5726QAO,Libertad 123.,0,1
0151905,Bolivar 1357.,1,2
84261,AMerica 456.,2,2
155752,Bolivar 456.,0,2
92774-179,Bra$il 987.,2,1
W8470EZV,Independencia 123.,1,1
O0145CVA,Pacifico 456.,2,1
3210,San Martin 2468.,1,1
